ID,Gender,Age,Race,IncludedInPrimaryAnalyses,IncludedInSuppAnalyses,NotCompliant,PerfectDefinitions,MarginalDefinitions,PrimaryAnalysesOutlier,SuppAnalysesOutlier,TooManyTrialsWithNoEmotion,EmotionDifferentiationScore,AverageEmotionIntensity,ExtremeScaleUse,SingleEmotionExperience,AngryDefScore,DisgustedDefScore,SadDefScore,ScaredDefScore,UpsetDefScore
41,1,9.013,1,1,1,0,1,1,0,0,0,-0.011561,22,50,66.25,2,2,2,2,2
42,1,8.4627,7,0,0,0,1,1,0,0,1,-0.23,13.611,45.526,27.16,2,2,2,2,2
43,1,8.5284,6,1,1,0,1,1,0,0,0,-0.071276,76.14,45.99,29.825,2,2,2,2,2
44,1,8.5585,8,1,1,0,1,1,0,0,0,-0.16556,40.915,34.328,47.554,2,2,2,2,2
45,1,9.0212,1,1,1,0,1,1,0,0,0,-0.46889,45.971,45.15,45.442,2,2,2,2,2
46,2,8.0411,1,1,1,0,1,1,0,0,0,-0.42109,49.656,25.836,28.973,2,2,2,2,2
47,2,8.5613,8,0,0,1,0,0,0,0,0,NA,NA,NA,NA,2,0,2,2,2
48,2,9.306,6,1,0,0,1,1,0,1,0,-0.017657,26.896,45.698,66.98,2,2,2,2,2
49,2,9.306,6,1,1,0,1,1,0,0,0,-0.20765,54.383,21.553,29.216,2,2,2,2,2
50,2,8.9528,1,1,1,0,1,1,0,0,0,-0.38582,15.261,36.085,17.288,2,2,2,2,2
51,1,9.9493,1,1,1,0,1,1,0,0,0,-0.46131,60.763,18.998,22.482,2,2,2,2,2
52,1,9.3032,1,0,1,0,0,1,0,0,0,-0.35781,71.635,41.871,28.086,1,2,2,2,2
53,1,9.306,1,0,0,0,1,1,1,1,0,0.040337,34.194,48.472,74.733,2,2,2,2,2
54,1,9.692,1,0,1,0,0,1,0,0,0,-0.23362,39.324,41.203,44.918,1,2,2,2,2
55,1,9.7112,1,1,1,0,1,1,0,0,0,-0.14509,57.5,29.64,41.125,2,2,2,2,2
56,2,9.8754,2,1,1,0,1,1,0,0,0,-0.12531,45.952,35.125,42.966,2,2,2,2,2
57,2,9.0513,8,1,1,0,1,1,0,0,0,-0.097796,44.894,46.71,60.795,2,2,2,2,2
58,2,10.264,2,1,1,0,1,1,0,0,0,0.0988,55.625,34.925,50.032,2,2,2,2,2
59,2,9.3306,2,1,1,0,1,1,0,0,0,-0.26185,59.386,43.408,39.131,2,2,2,2,2
60,2,9.2156,1,0,1,0,1,1,1,0,0,-0.24433,78.96,34.212,24.468,2,2,2,2,2
61,1,10.168,1,1,1,0,1,1,0,0,0,-0.22225,44.946,31.34,40.832,2,2,2,2,2
62,1,10.319,1,0,0,0,1,1,1,1,0,-0.80318,70.716,41.566,13.112,2,2,2,2,2
63,1,10.669,8,1,1,0,1,1,0,0,0,-0.34936,57.131,33.168,28.537,2,2,2,2,2
64,1,10.585,1,1,1,0,1,1,0,0,0,-0.37885,51.892,15.756,16.091,2,2,2,2,2
65,1,10.669,1,1,1,0,1,1,0,0,0,-0.2674,19.079,41.921,26.714,2,2,2,2,2
66,2,10.546,8,1,1,0,1,1,0,0,0,-0.051195,51.645,37.957,46.419,2,2,2,2,2
67,2,10.672,8,0,1,0,0,1,0,0,0,-0.16386,70.034,41.438,35.888,2,1,2,2,2
68,2,10.527,1,1,1,0,1,1,0,0,0,-0.28014,46.842,29.39,33.378,2,2,2,2,2
69,2,10.527,1,0,0,0,1,1,1,1,0,-0.27338,50.323,11.694,15.954,2,2,2,2,2
70,2,11.354,2,1,1,0,1,1,0,0,0,-0.1871,25.822,42.986,53.648,2,2,2,2,2
71,1,11.713,1,1,1,0,1,1,0,0,0,-0.40603,48.28,33.894,48.001,2,2,2,2,2
72,1,11.644,1,1,1,0,1,1,0,0,0,-0.12728,50.64,38.005,50.813,2,2,2,2,2
73,1,11.526,1,1,1,0,1,1,0,0,0,-0.15201,46.489,28.193,36.992,2,2,2,2,2
74,1,11.348,8,1,1,0,1,1,0,0,0,-0.30835,68.681,42.504,27.659,2,2,2,2,2
75,1,11.118,1,0,1,0,0,1,0,0,0,0.026855,34.762,25.853,38.303,2,1,2,2,2
76,2,11.578,1,1,1,0,1,1,0,0,0,-0.22697,20.414,36.73,29.13,2,2,2,2,2
77,2,11.116,1,1,1,0,1,1,0,0,0,0.031203,34.511,31.798,47.635,2,2,2,2,2
78,2,11.532,1,1,1,0,1,1,0,0,0,-0.19558,57.259,25.904,38.681,2,2,2,2,2
79,2,11.441,4,1,1,0,1,1,0,0,0,0.0013955,41.129,39.477,59.078,2,2,2,2,2
80,2,12.047,8,1,1,0,1,1,0,0,0,-0.39556,40.514,35.497,33.204,2,2,2,2,2
81,1,12.244,1,1,1,0,1,1,0,0,0,-0.34557,53.657,29.072,41.044,2,2,2,2,2
82,1,12.761,1,0,1,0,0,1,0,0,0,-0.26046,27.515,35.618,42.191,2,1,2,2,2
83,1,12.769,1,1,1,0,1,1,0,0,0,-0.39701,27.072,32.074,30.24,2,2,2,2,2
84,1,12.753,2,1,1,0,1,1,0,0,0,-0.33387,50.09,40.257,42.722,2,2,2,2,2
85,1,12.649,8,1,1,0,1,1,0,0,0,-0.10651,52.934,30.446,44.592,2,2,2,2,2
86,2,12.411,2,1,1,0,1,1,0,0,0,-0.080633,14.148,39.817,35.648,2,2,2,2,2
87,2,12.222,1,0,1,0,0,1,0,0,0,-0.59005,49.966,26.355,26.616,2,2,2,2,1
88,2,12.958,1,1,1,0,1,1,0,0,0,-0.10548,28.922,33.611,41.891,2,2,2,2,2
89,2,12.293,1,1,1,0,1,1,0,0,0,-0.36879,70.427,40.148,29.331,2,2,2,2,2
90,2,12.11,8,1,1,0,1,1,0,0,0,-0.31959,56.086,23.039,29.789,2,2,2,2,2
91,1,13.821,8,1,1,0,1,1,0,0,0,-0.5221,24.951,42.271,22.064,2,2,2,2,2
92,1,13.402,1,1,1,0,1,1,0,0,0,-0.30045,25.675,31.127,31.067,2,2,2,2,2
93,1,13.281,6,1,1,0,1,1,0,0,0,-0.3172,34.614,27.961,32.286,2,2,2,2,2
94,1,13.352,1,1,1,0,1,1,0,0,0,-0.35668,25.191,31.701,28.032,2,2,2,2,2
95,1,12.611,1,1,1,0,1,1,0,0,0,-0.40742,49.107,26.813,35.019,2,2,2,2,2
96,2,13.782,8,1,1,0,1,1,0,0,0,-0.51888,66.499,37.821,33.678,2,2,2,2,2
97,2,13.248,1,1,1,0,1,1,0,0,0,-0.42924,59.883,37.551,33.955,2,2,2,2,2
98,2,13.101,1,1,1,0,1,1,0,0,0,-0.3121,35.483,43.339,49.582,2,2,2,2,2
99,2,13.875,1,1,1,0,1,1,0,0,0,-0.21349,39.82,26.085,34.829,2,2,2,2,2
101,1,14.869,1,0,1,0,0,1,0,0,0,-0.30214,36.276,31.479,36.85,1,2,1,2,2
102,1,14.686,1,1,1,0,1,1,0,0,0,-0.24194,32.147,33.537,39.866,2,2,2,2,2
103,1,14.292,1,0,1,0,0,1,0,0,0,-0.32561,41.857,34.761,41.663,2,2,2,1,2
104,1,14.281,8,1,1,0,1,1,0,0,0,-0.42946,39.465,36.136,42.128,2,2,2,2,2
105,1,14.754,1,1,1,0,1,1,0,0,0,-0.6481,61.28,20.615,16.813,2,2,2,2,2
106,2,14.371,1,1,1,0,1,1,0,0,0,-0.44576,33.841,27.813,24.365,2,2,2,2,2
107,2,14.847,1,1,1,0,1,1,0,0,0,-0.49526,32.609,32.307,28.53,2,2,2,2,2
108,2,14.505,1,1,1,0,1,1,0,0,0,-0.17678,53.424,38.412,42.093,2,2,2,2,2
109,2,14.33,6,1,1,0,1,1,0,0,0,-0.15561,30.109,35.591,48.084,2,2,2,2,2
110,2,14.694,1,1,1,0,1,1,0,0,0,-0.40367,26.682,37.26,36.03,2,2,2,2,2
111,1,15.053,1,1,1,0,1,1,0,0,0,-0.36786,34.138,20.733,22.98,2,2,2,2,2
112,1,15.91,1,1,1,0,1,1,0,0,0,-0.22955,40.225,21.138,30.676,2,2,2,2,2
113,1,15.121,1,1,1,0,1,1,0,0,0,-0.40642,42.877,21.298,22.454,2,2,2,2,2
114,1,15.094,1,1,1,0,1,1,0,0,0,-0.22256,56.962,25.258,34.004,2,2,2,2,2
115,1,15.472,1,1,1,0,1,1,0,0,0,-0.3613,16.171,36.03,20.122,2,2,2,2,2
116,2,15.559,4,1,1,0,1,1,0,0,0,-0.27089,44.579,32.377,38.388,2,2,2,2,2
117,2,15.869,1,1,1,0,1,1,0,0,0,-0.45949,55.406,36.527,33.632,2,2,2,2,2
118,2,15.989,1,1,1,0,1,1,0,0,0,-0.36135,44.106,30.103,36.408,2,2,2,2,2
119,2,15.77,4,1,1,0,1,1,0,0,0,-0.22233,65.43,37.947,33.426,2,2,2,2,2
120,2,15.343,2,1,1,0,1,1,0,0,0,-0.56648,46.481,38.392,32.972,2,2,2,2,2
121,1,16.528,1,1,1,0,1,1,0,0,0,-0.44626,39.792,31.262,29.212,2,2,2,2,2
122,1,16.649,1,1,1,0,1,1,0,0,0,-0.4877,59.059,24.498,29.297,2,2,2,2,2
123,1,16.309,1,0,0,0,1,1,1,1,0,-0.87358,76.632,40.553,10.088,2,2,2,2,2
124,1,16.635,1,1,1,0,1,1,0,0,0,-0.59048,28.612,32.43,19.967,2,2,2,2,2
125,1,16.553,1,1,1,0,1,1,0,0,0,-0.044098,62.671,28.449,35.299,2,2,2,2,2
126,2,16.687,4,1,1,0,1,1,0,0,0,-0.37578,43.513,21.851,25.466,2,2,2,2,2
127,2,16.323,1,0,1,0,0,1,0,0,0,-0.20965,31.911,32.811,46.121,1,2,1,2,2
128,2,16.397,2,1,1,0,1,1,0,0,0,-0.19816,37.519,32.25,47.452,2,2,2,2,2
129,2,16.838,2,1,1,0,1,1,0,0,0,-0.37916,47.819,31.932,42.006,2,2,2,2,2
130,2,16.895,2,0,1,0,0,1,0,0,0,-0.20953,55.312,27.505,33.635,2,1,2,2,2
131,1,17.632,1,0,1,0,0,1,0,0,0,-0.095334,60.805,27.557,33.451,2,1,2,2,2
132,1,17.717,2,1,1,0,1,1,0,0,0,-0.18711,20.784,41.588,43.193,2,2,2,2,2
133,1,17.473,1,1,1,0,1,1,0,0,0,-0.24299,27.755,38.668,46.41,2,2,2,2,2
134,1,17.131,1,1,1,0,1,1,0,0,0,-0.42651,47.284,37.393,43.898,2,2,2,2,2
135,1,17.643,1,0,1,0,0,1,0,0,0,-0.4226,37.389,31.387,34.873,2,2,2,1,2
136,2,17.279,1,1,1,0,1,1,0,0,0,-0.6052,30.615,41.398,28.062,2,2,2,2,2
137,2,17.492,1,1,1,0,1,1,0,0,0,-0.22666,49.63,24.243,35.044,2,2,2,2,2
138,2,17.536,1,1,1,0,1,1,0,0,0,-0.13053,19.713,36.728,36.91,2,2,2,2,2
139,2,17.665,1,1,1,0,1,1,0,0,0,-0.53244,61.118,35.379,28.424,2,2,2,2,2
140,2,17.062,1,1,1,0,1,1,0,0,0,-0.55862,26.612,39.007,26.551,2,2,2,2,2
141,1,18.94,1,0,0,1,1,1,0,0,0,NA,NA,NA,NA,2,2,2,2,2
142,1,18.33,1,1,1,0,1,1,0,0,0,-0.4981,7.9809,43.375,14.788,2,2,2,2,2
143,1,18.973,8,1,1,0,1,1,0,0,0,-0.47131,32.115,30.553,34.255,2,2,2,2,2
144,1,18.552,2,0,0,0,1,1,0,0,1,0.045068,4.6978,47.705,23.489,2,2,2,2,2
145,1,19.291,1,1,1,0,1,1,0,0,0,-0.59241,39.606,37.928,37.784,2,2,2,2,2
146,2,18.407,1,1,1,0,1,1,0,0,0,-0.012711,48.22,22.798,33.581,2,2,2,2,2
147,2,18.817,4,1,1,0,1,1,0,0,0,-0.20055,46.117,30.486,40.305,2,2,2,2,2
148,2,18.694,1,1,1,0,1,1,0,0,0,-0.32265,32.515,35.732,34.604,2,2,2,2,2
149,2,18.675,1,1,1,0,1,1,0,0,0,-0.13493,42.444,36.3,51.557,2,2,2,2,2
150,2,18.226,8,1,1,0,1,1,0,0,0,-0.5411,39.877,39.291,32.229,2,2,2,2,2
151,1,19.973,NA,1,1,0,1,1,0,0,0,-0.22247,44.248,35.084,44.218,2,2,2,2,2
152,1,19.587,1,1,1,0,1,1,0,0,0,-0.5186,17.606,36.465,22.822,2,2,2,2,2
153,1,19.285,4,1,1,0,1,1,0,0,0,0.0027279,53.59,17.554,26.376,2,2,2,2,2
154,1,19.277,1,1,1,0,1,1,0,0,0,0.010731,45.069,40.137,56.416,2,2,2,2,2
155,1,19.617,1,1,1,0,1,1,0,0,0,-0.14607,45.398,29.972,43.731,2,2,2,2,2
156,2,19.129,2,1,1,0,1,1,0,0,0,-0.25137,44.707,37.311,51.512,2,2,2,2,2
157,2,19.598,1,0,1,0,0,1,0,0,0,-0.3243,65.374,30.498,33.481,2,2,1,2,2
158,2,19.469,1,1,1,0,1,1,0,0,0,-0.32872,31.313,37.05,46.507,2,2,2,2,2
159,2,19.195,NA,1,1,0,1,1,0,0,0,-0.19936,28.211,37.382,40.296,2,2,2,2,2
160,2,19.48,1,1,1,0,1,1,0,0,0,-0.15624,44.615,38.391,54.376,2,2,2,2,2
161,1,20.008,2,1,1,0,1,1,0,0,0,-0.25087,26.095,36.463,42.162,2,2,2,2,2
162,1,20.947,8,1,1,0,1,1,0,0,0,-0.34,37.287,37.481,45.664,2,2,2,2,2
163,1,20.471,1,1,1,0,1,1,0,0,0,-0.4122,43.98,25.486,27.205,2,2,2,2,2
164,1,20.342,4,1,1,0,1,1,0,0,0,-0.41772,40.844,31.125,32.976,2,2,2,2,2
165,1,20.846,1,1,1,0,1,1,0,0,0,-0.36345,38.246,40.026,43.006,2,2,2,2,2
166,2,20.934,1,1,1,0,1,1,0,0,0,-0.23653,23.671,32.185,32.467,2,2,2,2,2
167,2,20.72,8,1,1,0,1,1,0,0,0,-0.30541,43.309,31.179,35.134,2,2,2,2,2
168,2,20.329,1,1,1,0,1,1,0,0,0,-0.36873,50.999,28.963,35.21,2,2,2,2,2
169,2,20.868,2,1,1,0,1,1,0,0,0,-0.54726,39.825,27.883,29.904,2,2,2,2,2
170,2,20.353,1,1,1,0,1,1,0,0,0,-0.34546,24.101,33.929,25.982,2,2,2,2,2
171,1,21.306,4,1,1,0,1,1,0,0,0,-0.1956,59.947,32.949,37.939,2,2,2,2,2
172,1,21.585,1,1,1,0,1,1,0,0,0,-0.51377,39.118,24.782,27.283,2,2,2,2,2
173,1,21.016,4,1,1,0,1,1,0,0,0,-0.11809,58.525,26.645,34.623,2,2,2,2,2
174,1,21.708,1,1,1,0,1,1,0,0,0,-0.36434,33.624,39.075,39.694,2,2,2,2,2
175,1,21.626,8,1,1,0,1,1,0,0,0,-0.43591,53.014,29.224,29.676,2,2,2,2,2
176,2,21.632,4,1,1,0,1,1,0,0,0,-0.51418,47.323,31.965,35.146,2,2,2,2,2
177,2,21.687,2,1,1,0,1,1,0,0,0,-0.38873,45.505,25.421,32.486,2,2,2,2,2
178,2,21.892,4,1,1,0,1,1,0,0,0,-0.18325,40.68,21.602,30.017,2,2,2,2,2
179,2,21.58,1,1,1,0,1,1,0,0,0,-0.076971,33.364,28.103,35.491,2,2,2,2,2
180,2,21.06,1,1,1,0,1,1,0,0,0,-0.27822,33.027,35.296,46.539,2,2,2,2,2
181,1,22.313,4,0,1,0,0,1,0,0,0,-0.39204,45.455,26.088,34.247,2,1,2,2,2
182,1,22.831,1,1,1,0,1,1,0,0,0,-0.43324,36.989,37.39,41.085,2,2,2,2,2
183,1,22.516,1,1,1,0,1,1,0,0,0,-0.14091,39.672,30.912,44.044,2,2,2,2,2
186,2,22.732,1,1,1,0,1,1,0,0,0,-0.41847,46.352,31.405,33.632,2,2,2,2,2
187,2,22.177,1,1,1,0,1,1,0,0,0,-0.19585,50.297,28.936,39.208,2,2,2,2,2
188,2,22.85,1,0,0,0,1,1,1,1,0,-0.044089,4.9379,45.902,17.486,2,2,2,2,2
191,1,23.277,5,0,1,0,0,1,0,0,0,-0.25083,31.459,44.827,48.391,2,1,2,2,2
192,1,23.354,4,1,1,0,1,1,0,0,0,-0.02238,37.679,37.892,54.176,2,2,2,2,2
201,1,24.512,2,0,1,0,0,1,0,0,0,-0.41625,73.267,49.733,28.833,2,1,1,2,2
202,1,24.381,2,0,0,0,1,1,1,1,0,-0.76467,51.149,12.906,10.803,2,2,2,2,2
203,1,24.287,4,1,1,0,1,1,0,0,0,-0.060241,48.129,31.6,45.428,2,2,2,2,2
204,1,24.148,1,0,0,0,1,1,0,0,1,-0.66215,7.773,47.773,6.4071,2,2,2,2,2
206,2,24.843,4,1,1,0,1,1,0,0,0,-0.084893,50.091,23.096,34.383,2,2,2,2,2
207,2,24.654,4,0,0,0,1,1,1,1,0,-0.30653,0.2083,49.792,0.42075,2,2,2,2,2
208,2,24.876,1,1,1,0,1,1,0,0,0,-0.19951,46.227,22.39,37.909,2,2,2,2,2
209,2,24.893,2,1,1,0,1,1,0,0,0,-0.48873,30.342,38.18,31.411,2,2,2,2,2
211,1,25.232,4,0,1,0,0,1,0,0,0,-0.089056,61.322,32.319,40.66,2,1,2,2,2
216,2,25.875,2,1,1,0,1,1,0,0,0,-0.30339,26.926,38.253,38.176,2,2,2,2,2
217,2,25.325,2,1,1,0,1,1,0,0,0,-0.37407,34.691,31.566,35.187,2,2,2,2,2
218,2,25.908,1,1,1,0,1,1,0,0,0,-0.23157,36.343,30.162,36.045,2,2,2,2,2
219,2,25.079,1,1,1,0,1,1,0,0,0,-0.097628,49.264,34.177,48.72,2,2,2,2,2
221,2,16.329,7,1,1,0,1,1,0,0,0,-0.36238,64.951,38.449,34.608,2,2,2,2,2
222,2,16.238,NA,1,1,0,1,1,0,0,0,-0.35838,36.461,31.831,39.079,2,2,2,2,2
